Methods, TO, OO, PO, HO, DS, SA, LD, DC, DD, DIS, SV, FM, DV, CM, MB, LI
BAT(2024), 31.4, 74.6, 54.9, 33.5, 55.6, 52.3, 55.0, 54.1, 70.4, 66.0, 63.6, 27.5, 68.1, 66.7, 62.7, 70.0, 
CAFormer(2025AAAI), 15.5, 64.8, 50.6, 25.7, 50.6, 47.3, 48.0, 49.3, 53.4, 59.1, 57.5, 31.4, 58.5, 62.0, 58.1, 59.9, 
CAFormer(train_all), 29.5, 74.4, 54.6, 32.6, 53.0, 49.7, 52.5, 51.5, 64.4, 63.2, 60.7, 26.8, 64.9, 70.6, 69.0, 67.7, 
CDAAT(2024), 8.6, 50.9, 21.0, 18.5, 20.4, 19.0, 24.2, 18.3, 35.8, 30.4, 34.4, 8.2, 35.1, 37.0, 36.4, 32.6, 
CSTNet(2024), 0.7, 5.0, 4.3, 3.3, 6.0, 8.0, 7.0, 5.9, 2.0, 8.7, 24.3, 1.1, 3.5, 8.1, 5.9, 9.6, 
CSTNet(train_all), 0.7, 5.1, 4.2, 3.4, 6.1, 8.0, 7.1, 5.7, 2.2, 8.5, 23.6, 1.1, 3.6, 8.2, 6.1, 9.8, 
SDSTrack, 16.2, 66.5, 39.4, 17.5, 37.5, 37.6, 34.4, 35.4, 41.2, 45.7, 51.4, 21.1, 47.2, 53.7, 48.0, 55.4, 
SDSTrack(train_all), 26.5, 46.6, 34.4, 24.9, 36.6, 36.0, 32.9, 36.0, 32.2, 30.0, 49.4, 21.4, 38.6, 41.0, 34.1, 35.3, 
SeqTrack, 39.9, 60.2, 48.5, 30.5, 48.4, 48.4, 51.2, 47.1, 60.2, 61.3, 55.8, 26.3, 59.4, 63.4, 63.0, 60.8, 
SUTrack(2025), 15.4, 64.7, 37.2, 18.5, 34.1, 34.7, 34.4, 30.8, 50.5, 50.5, 51.8, 20.0, 53.1, 51.7, 53.9, 54.4, 
TBSI, 9.5, 31.1, 27.4, 13.2, 29.0, 29.3, 28.4, 27.7, 21.8, 32.2, 38.6, 15.2, 33.2, 38.7, 34.8, 34.0, 
TBSI(train_all), 36.2, 72.0, 53.7, 28.0, 56.0, 54.8, 52.5, 54.6, 59.9, 59.7, 62.3, 30.5, 65.3, 64.4, 65.8, 64.5, 
UNTrack, 32.1, 73.5, 49.6, 27.4, 47.9, 42.7, 48.5, 43.1, 61.6, 61.5, 58.4, 27.5, 64.7, 66.1, 67.6, 63.3, 
UNTrack(train_all), 30.8, 79.7, 50.7, 28.2, 47.8, 44.4, 51.5, 44.0, 65.3, 63.3, 59.2, 26.7, 66.2, 71.5, 71.3, 65.3, 
uwrgbd1k_ep01, 46.3, 75.8, 66.6, 42.2, 68.1, 66.2, 64.7, 67.5, 61.1, 79.1, 71.2, 38.4, 73.6, 73.5, 82.3, 75.0, 
uwrgbd1k_ep05, 42.1, 77.3, 65.8, 42.4, 67.2, 65.1, 65.5, 66.2, 67.7, 76.6, 69.9, 36.0, 74.9, 77.1, 82.5, 76.0, 
uwrgbd1k_ep20, 46.5, 59.6, 63.2, 40.7, 64.7, 63.4, 62.4, 63.8, 63.5, 72.9, 68.2, 31.0, 72.5, 68.8, 75.2, 74.9, 
ViPT, 31.9, 79.1, 51.6, 27.5, 48.3, 45.6, 50.1, 44.3, 62.1, 61.9, 59.4, 31.2, 63.5, 68.4, 68.3, 61.3, 
ViPT(train_all), 25.7, 82.3, 50.9, 27.7, 50.7, 47.7, 51.3, 49.1, 63.6, 60.8, 59.0, 27.8, 61.4, 69.4, 67.5, 68.2, 
