Methods, TO, OO, PO, HO, DS, SA, LD, DC, DD, DIS, SV, FM, DV, CM, MB, LI
BAT(2024), 39.4, 50.8, 56.0, 32.7, 57.2, 53.8, 55.0, 56.6, 61.9, 65.3, 60.0, 31.6, 65.0, 60.0, 59.2, 66.4, 
CAFormer(2025AAAI), 28.7, 40.5, 51.6, 24.8, 52.2, 49.8, 48.0, 52.5, 50.7, 58.8, 55.7, 33.7, 56.1, 56.5, 53.1, 53.8, 
CAFormer(train_all), 36.1, 55.1, 56.3, 33.3, 55.0, 51.7, 53.4, 53.5, 57.7, 62.8, 59.5, 31.6, 62.8, 65.4, 66.5, 64.3, 
CDAAT(2024), 11.7, 26.9, 20.5, 17.4, 20.2, 18.6, 23.6, 18.5, 33.0, 30.9, 34.3, 10.4, 32.2, 33.0, 31.7, 28.5, 
CSTNet(2024), 4.1, 0.1, 6.1, 6.9, 8.7, 10.0, 9.4, 7.5, 4.1, 10.9, 25.3, 3.2, 5.8, 6.8, 6.1, 6.0, 
CSTNet(train_all), 4.2, 0.2, 6.2, 7.0, 8.7, 10.0, 9.5, 7.5, 4.6, 11.1, 25.5, 3.4, 5.8, 7.2, 6.0, 6.2, 
SDSTrack, 21.9, 39.5, 40.4, 17.5, 39.3, 39.8, 34.6, 38.8, 38.6, 45.8, 50.0, 27.0, 44.1, 47.9, 43.8, 51.1, 
SDSTrack(train_all), 1.4, 19.2, 16.2, 8.1, 16.0, 16.6, 15.9, 15.3, 18.3, 17.6, 35.4, 6.6, 20.7, 29.5, 24.0, 22.2, 
SeqTrack, 49.9, 43.1, 50.3, 33.4, 50.6, 50.4, 52.4, 49.1, 54.7, 62.6, 55.6, 32.2, 57.7, 59.6, 60.0, 57.1, 
SUTrack(2025), 20.5, 45.8, 38.3, 19.0, 36.0, 37.5, 34.1, 34.1, 46.6, 50.8, 51.3, 22.9, 51.0, 46.8, 47.9, 51.1, 
TBSI, 19.5, 12.0, 29.3, 13.7, 32.2, 32.4, 30.1, 32.9, 16.4, 32.0, 39.0, 19.3, 29.9, 30.7, 28.1, 23.0, 
TBSI(train_all), 41.1, 44.3, 54.8, 29.3, 58.4, 57.3, 53.0, 58.5, 51.3, 59.0, 59.6, 35.4, 61.6, 57.8, 62.8, 59.4, 
UNTrack, 39.5, 51.6, 50.0, 27.4, 47.7, 41.6, 47.9, 42.2, 54.7, 61.1, 55.7, 29.3, 62.6, 58.7, 61.9, 59.0, 
UNTrack(train_all), 38.3, 53.9, 51.2, 28.2, 47.9, 43.6, 51.2, 43.5, 58.4, 62.9, 58.8, 28.3, 64.3, 65.3, 67.2, 62.0, 
uwrgbd1k_ep01, 56.8, 53.1, 68.3, 43.8, 70.4, 68.7, 66.5, 69.9, 55.7, 79.7, 70.6, 45.3, 72.4, 69.1, 75.9, 71.9, 
uwrgbd1k_ep05, 54.1, 55.1, 67.5, 43.4, 69.4, 67.5, 67.2, 68.5, 61.3, 76.6, 70.2, 43.2, 73.7, 73.3, 77.4, 71.6, 
uwrgbd1k_ep20, 60.7, 42.5, 65.1, 41.9, 66.8, 65.5, 64.1, 66.4, 59.2, 73.0, 69.1, 40.2, 71.5, 65.0, 71.4, 72.3, 
ViPT, 38.2, 52.5, 52.6, 28.1, 49.4, 46.6, 50.4, 45.2, 55.0, 62.1, 58.4, 34.4, 60.1, 63.3, 63.5, 57.0, 
ViPT(train_all), 30.8, 59.9, 51.7, 27.2, 51.5, 48.8, 51.0, 50.5, 56.7, 60.5, 57.6, 31.2, 58.1, 64.7, 63.5, 63.9, 
