Methods, TO, OO, PO, HO, DS, SA, LD, DC, DD, DIS, SV, FM, DV, CM, MB, LI
BAT(2024), 22.6, 65.4, 47.3, 32.1, 47.1, 43.9, 47.4, 44.7, 60.9, 56.3, 51.3, 28.3, 57.5, 58.4, 55.8, 60.4, 
CAFormer(2025AAAI), 15.4, 59.7, 44.1, 27.4, 43.2, 41.0, 41.6, 41.4, 48.2, 50.8, 46.6, 28.7, 49.6, 54.3, 51.9, 49.7, 
CAFormer(train_all), 20.1, 66.1, 47.6, 32.1, 45.4, 42.6, 46.3, 43.0, 56.2, 53.6, 50.5, 28.3, 55.4, 62.8, 62.0, 59.1, 
CDAAT(2024), 6.5, 47.8, 20.4, 19.0, 19.7, 18.6, 22.4, 17.4, 32.9, 28.6, 31.0, 11.0, 32.2, 35.2, 35.4, 29.6, 
CSTNet(2024), 2.1, 11.1, 8.8, 8.2, 10.5, 13.0, 10.3, 9.3, 8.3, 14.5, 22.5, 4.9, 8.0, 14.3, 12.7, 13.3, 
CSTNet(train_all), 2.2, 11.4, 9.0, 8.5, 10.8, 13.2, 10.8, 9.4, 8.4, 14.7, 22.9, 5.0, 8.1, 14.4, 12.1, 13.6, 
SDSTrack, 12.6, 58.3, 36.1, 21.0, 33.4, 33.4, 31.4, 31.5, 38.8, 39.8, 42.8, 23.0, 41.3, 48.1, 44.0, 47.2, 
SDSTrack(train_all), 4.9, 47.1, 18.8, 12.5, 17.3, 17.9, 18.3, 16.3, 25.1, 19.6, 32.8, 12.4, 25.5, 36.3, 27.8, 28.4, 
SeqTrack, 28.7, 55.5, 41.9, 29.9, 40.9, 40.9, 44.3, 38.9, 53.1, 52.0, 46.3, 25.5, 51.0, 56.2, 55.1, 52.1, 
SUTrack(2025), 13.5, 61.8, 33.4, 19.6, 30.2, 30.7, 30.5, 27.6, 45.7, 42.7, 42.5, 20.8, 46.3, 47.1, 48.4, 47.9, 
TBSI, 8.7, 31.4, 25.4, 16.2, 26.2, 27.4, 25.4, 26.0, 23.3, 27.9, 33.2, 17.3, 29.3, 33.9, 31.4, 29.6, 
TBSI(train_all), 25.4, 61.0, 46.1, 28.2, 47.1, 46.0, 45.8, 45.6, 52.9, 50.3, 50.7, 30.1, 55.1, 56.6, 57.9, 54.8, 
UNTrack, 23.1, 64.6, 43.2, 27.6, 40.0, 35.3, 42.1, 34.4, 54.0, 52.7, 47.8, 26.2, 55.5, 58.6, 60.0, 54.7, 
UNTrack(train_all), 22.8, 71.3, 44.1, 28.2, 40.4, 37.0, 44.9, 35.5, 56.9, 53.9, 49.3, 25.6, 57.2, 63.3, 63.7, 56.6, 
uwrgbd1k_ep01, 33.2, 68.3, 56.2, 37.8, 56.3, 54.3, 55.5, 53.8, 55.0, 66.2, 56.6, 37.1, 63.3, 65.6, 71.7, 64.1, 
uwrgbd1k_ep05, 30.8, 69.8, 55.8, 37.7, 55.8, 54.0, 56.3, 53.4, 59.7, 64.5, 56.6, 36.5, 63.8, 68.4, 72.1, 64.6, 
uwrgbd1k_ep20, 34.5, 55.0, 53.6, 36.2, 54.1, 52.8, 53.6, 52.2, 56.6, 61.2, 55.7, 32.7, 62.0, 61.2, 66.8, 64.1, 
ViPT, 23.2, 69.1, 45.1, 27.8, 41.2, 38.8, 44.1, 36.4, 54.4, 52.6, 48.0, 28.3, 53.8, 61.2, 60.5, 52.9, 
ViPT(train_all), 18.0, 74.5, 44.6, 28.2, 43.0, 40.4, 44.8, 40.3, 55.8, 52.8, 48.7, 27.6, 52.3, 62.3, 59.8, 59.2, 
